Timestamp,"MEAL TYPE(Choose the meal you just had)",Taste  ,Food Temperature,Quantity,Hygiene,Your Experience
06/03/2026 23:14:56,Snacks,4,4,3,5,4
06/03/2026 23:30:11,Breakfast,2,3,3,4,3
07/03/2026 00:12:43,Breakfast,2,3,4,4,3
07/03/2026 02:23:30,Breakfast,3,2,4,5,2
07/03/2026 08:20:19,Breakfast,5,5,5,5,5
07/03/2026 08:20:37,Snacks,4,4,5,5,5
07/03/2026 08:20:54,Lunch,5,3,4,5,4
07/03/2026 08:21:10,Snacks,5,5,5,5,4
10/03/2026 21:52:37,Dinner,2,4,4,4,3
10/03/2026 21:53:16,Lunch,3,4,3,4,4
12/03/2026 22:51:25,Lunch,2,2,2,3,2
12/03/2026 22:53:55,Dinner,3,2,2,4,3
12/03/2026 22:54:41,Lunch,1,3,1,5,3
12/03/2026 23:40:18,Dinner,5,3,3,4,4
12/03/2026 23:40:32,Snacks,3,5,4,3,5
12/03/2026 23:48:11,Dinner,5,5,5,5,5
12/03/2026 23:48:33,Lunch,4,4,3,4,4
12/03/2026 23:48:36,Snacks,4,4,4,4,4
12/03/2026 23:49:12,Breakfast,4,4,2,4,5
12/03/2026 23:49:53,Dinner,5,4,3,3,2
12/03/2026 23:49:56,Snacks,4,4,4,4,4
12/03/2026 23:50:47,Lunch,5,4,3,5,5
12/03/2026 23:53:41,Lunch,5,5,5,5,5
12/03/2026 23:54:08,Dinner,1,1,1,4,1
12/03/2026 23:54:40,Dinner,1,1,1,4,1
12/03/2026 23:54:54,Dinner,5,5,5,5,5
13/03/2026 01:17:23,Snacks,3,2,4,3,3
13/03/2026 01:17:43,Lunch,2,4,2,4,4
13/03/2026 01:18:00,Dinner,3,5,5,3,1
13/03/2026 01:18:24,Breakfast,2,3,4,4,5
13/03/2026 01:18:43,Dinner,3,2,3,4,2
13/03/2026 02:23:48,Dinner,3,4,2,4,3
13/03/2026 09:22:59,Snacks,4,5,4,5,5
13/03/2026 09:23:18,Breakfast,5,5,5,4,5
13/03/2026 09:23:38,Lunch,5,5,3,5,5
13/03/2026 09:23:54,Dinner,4,4,5,4,4
13/03/2026 09:24:42,Breakfast,5,4,4,5,5
